Year,Team,Games - GP,Games - GS,Passing - Comp,Passing - Att,Passing - Pct,Passing - Yds,Passing - Avg,Passing - TD,Passing - Int,Passing - Rate,Passing - TD%,Passing - Int%,Rushing - Att,Rushing - Yds,Rushing - Avg,Rushing - TD
2005,GB,3,0,9,16,56.3,65,4.1,0,1,39.8,0,6.3,2,7,3.5,0
2006,GB,2,0,6,15,40,46,3.1,0,0,48.2,0,0,2,11,5.5,0
2007,GB,2,0,20,28,71.4,218,7.8,1,0,106,3.6,0,7,29,4.1,0
2008,GB,16,16,341,536,63.6,4038,7.5,28,13,93.8,5.2,2.4,56,207,3.7,4
2009,GB,16,16,350,541,64.7,4434,8.2,30,7,103.2,5.5,1.3,58,316,5.4,5
2010,GB,15,15,312,475,65.7,3922,8.3,28,11,101.2,5.9,2.3,64,356,5.6,4
2011,GB,15,15,343,502,68.3,4643,9.2,45,6,122.5,9,1.2,60,257,4.3,3
2012,GB,16,16,371,552,67.2,4295,7.8,39,8,108,7.1,1.4,54,259,4.8,2
2013,GB,9,9,193,290,66.6,2536,8.7,17,6,104.9,5.9,2.1,30,120,3.3,0
2014,GB,16,16,341,520,65.6,4381,8.4,38,5,112.2,7.3,1,43,269,6.3,2
2015,GB,16,16,347,572,60.7,3821,6.7,31,8,92.7,5.4,1.4,58,344,5.9,1
2016,GB,16,16,401,610,65.7,4428,7.3,40,7,104.2,6.6,1.1,67,369,5.5,4
2017,GB,7,7,154,238,64.7,1675,7,16,6,97.2,6.7,2.5,24,126,5.2,0
2018,GB,4,4,99,156,63.5,1130,7.2,7,1,97.4,4.5,0.6,11,67,6.1,0
